"Bus Number	Bus Yard	Bus Type	Bus Yard Address	Bus Yard Latitude	Bus Yard Longitude											"			
"B286	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B360	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B361	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B362	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B363	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B364	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B365	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B366	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B367	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B368	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B369	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B370	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B371	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B372	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B373	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B374	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B375	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B376	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B377	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B378	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B379	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B380	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B381	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B382	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B383	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B384	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B385	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B386	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B387	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B388	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B389	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B390	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B391	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B392	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B393	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B394	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B395	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B396	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B397	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B398	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B399	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B400	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B401	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B402	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B403	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B404	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B405	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B406	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B407	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B408	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B409	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B410	Frpt	Full	""2000 Washington Street"	 Boston	 MA	" 02119""	42.333189	-71.080309											"
"B411	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B412	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B413	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B414	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B415	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B416	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B417	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B418	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B419	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B420	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B421	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B422	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B423	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B424	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B425	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B426	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B427	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B428	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B429	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B430	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B431	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B432	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B433	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B434	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B435	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B436	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B437	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B438	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B439	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B440	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B441	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B442	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B443	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B444	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B445	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B446	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B447	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B448	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B449	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B450	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B451	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B452	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B453	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B454	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B455	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B456	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B457	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B458	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B459	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B460	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B461	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B462	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B463	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B464	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B465	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B466	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B467	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B468	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B469	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B470	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B471	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B472	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B473	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B474	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B475	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B476	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B477	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B478	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B479	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B480	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B481	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B482	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B483	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B484	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B485	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B486	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B487	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B488	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B489	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B490	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B491	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B492	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B493	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B494	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B495	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B496	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B497	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B498	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B499	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B500	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B501	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B502	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B503	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B504	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B505	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B506	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B507	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B508	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B509	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B510	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B511	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B512	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B513	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B514	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B515	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B516	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B517	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B518	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B519	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B520	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B521	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B522	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B523	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B524	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B525	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B526	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B527	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B528	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B529	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B530	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B531	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B532	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B533	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B534	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B535	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B536	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B537	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B538	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B539	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B540	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B541	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B542	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B543	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B544	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B545	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B546	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B547	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B548	Read	Full	""10-34 Freeport St"	 Dorchester	 MA	" 02125""	42.307069	-71.057577											"
"B549	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B550	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
"B551	Ctwn	Full	""21 Industrial Dr"	 Boston	 MA	" 02136""	42.23739	-71.139795											"
